Role,Invested in Real Estate,Extra Hours,Invested in Stock Market,Favourite Sport,Gender,Languages Known,Sport Knowledge (in XP),Average no. of leaves/month,Trades Done,Married(1/0),Level of Education,Occupation,Pay,ID Proof,Most Productive Hour,Tax Category,Income Category,Employer,Tax Paid,Id
Part-time,Country Side,Paid,Tesla,,female,4,47.0,0,33,1,Masters,0,2579.73,Aadhar,1,83,2.0,Vision-Analytics,49421,21289
Part-time,Country Side,Paid,Tesla,None,male,4,5.0,1,33,-1,Masters,0,273.73,Aadhar,1,97,2.0,Vision-Analytics,32456,21290
Full-time,Country Side,Paid,Tesla,swimming,male,2,49.0,1,40,1,Masters,1,1498.73,Aadhar,1,101,2.0,Vision-Analytics,10617,21292
Part-time,Country Side,Paid,Tesla,None,male,3,98.0,0,58,0,Graduation,7,5723.73,Aadhar,1,110,2.0,Vision-Analytics,12589,21295
Full-time,Country Side,Unpaid,Tesla,badminton,male,2,71.0,4,50,0,Masters,0,325.73,Aadhar,1,121,2.0,Vision-Analytics,26451,21297
Part-time,Country Side,Paid,Tesla,badminton,female,4,91.0,5,45,0,Masters,3,2252.73,Aadhar,1,204,2.0,Vision-Analytics,47804,21298
Full-time,Country Side,Paid,Tesla,,male,4,21.0,4,33,1,Masters,0,1908.73,Aadhar,1,87,2.0,Vision-Analytics,11879,21299
Full-time,Country Side,Paid,Tesla,badminton,male,3,65.0,1,30,1,Masters,0,1390.73,Aadhar,1,216,,Vision-Analytics,33775,21302
Part-time,Ocean Side,Unpaid,Tesla,soccer,male,2,,2,30,1,Masters,0,56.73,Aadhar,1,126,2.0,Vision-Analytics,10648,21303
Part-time,,Paid,Tesla,soccer,female,2,48.0,4,28,1,Masters,0,1350.73,Aadhar,1,125,2.0,Vision-Analytics,30829,21304
Part-time,Country Side,Paid,Tesla,,male,4,43.0,2,32,1,Masters,4,605.73,Aadhar,1,72,2.0,Vision-Analytics,14769,21305
Full-time,Country Side,Paid,Tesla,swimming,male,4,58.0,3,40,-1,Masters,0,897.73,Aadhar,1,72,2.0,Vision-Analytics,39723,21306
Full-time,Country Side,Paid,Tesla,badminton,female,1,58.0,4,28,1,Masters,3,,Aadhar,1,64,2.0,Vision-Analytics,20018,21307
Full-time,Country Side,Paid,Tesla,soccer,female,4,56.0,0,53,0,High School,9,484.73,Aadhar,1,108,2.0,,24595,21308
Full-time,Country Side,Paid,Tesla,polo,male,1,2.0,4,49,0,Graduation,4,2515.73,Aadhar,1,495,2.0,Vision-Analytics,49427,21309
Full-time,Country Side,Paid,Tesla,None,male,3,11.0,3,44,0,Graduation,9,1273.73,Aadhar,1,93,2.0,Vision-Analytics,41370,21310
Full-time,Country Side,Paid,Tesla,polo,female,3,91.0,5,46,-1,Graduation,0,3597.73,Aadhar,1,200,2.0,Vision-Analytics,13377,21311
Full-time,,Paid,Tesla,soccer,male,3,,5,45,0,High School,7,,Aadhar,1,108,2.0,Vision-Analytics,32473,21312
Part-time,Country Side,Paid,Tesla,soccer,male,4,15.0,1,46,0,Masters,0,561.73,Aadhar,1,582,2.0,Vision-Analytics,46055,21313
Part-time,Country Side,Paid,Tesla,basketball,male,4,27.0,4,43,0,Masters,0,4385.73,Aadhar,1,137,2.0,Vision-Analytics,47975,21314
Part-time,Country Side,Unpaid,Tesla,soccer,female,3,34.0,5,21,0,Masters,8,762.73,Aadhar,1,232,2.0,,42048,21315
Full-time,Ocean Side,Unpaid,Tesla,basketball,female,3,27.0,3,58,0,Graduation,10,8394.73,Aadhar,1,95,2.0,Vision-Analytics,14883,21316
Full-time,Country Side,Paid,Tesla,None,female,1,90.0,3,54,0,High School,7,3479.73,Aadhar,1,126,2.0,Vision-Analytics,17557,21317
Full-time,Ocean Side,Unpaid,Tesla,badminton,male,3,35.0,5,28,1,Graduation,4,1069.73,Aadhar,1,312,2.0,Vision-Analytics,27594,21318
Part-time,Country Side,Paid,Tesla,None,male,2,7.0,2,57,0,High School,9,1373.73,Aadhar,1,144,2.0,Vision-Analytics,46463,21319
Full-time,Country Side,Paid,Tesla,polo,male,3,,1,32,0,Masters,0,273.73,Aadhar,1,428,2.0,Vision-Analytics,36719,21321
Part-time,Country Side,Paid,Tesla,swimming,female,1,50.0,1,49,0,Graduation,4,492.73,PAN,1,60,2.0,,47272,21322
Full-time,Country Side,Paid,Tesla,,female,1,82.0,3,29,1,Graduation,4,273.73,Aadhar,1,90,2.0,Vision-Analytics,47345,21324
Full-time,Country Side,Unpaid,Tesla,None,male,4,37.0,3,31,1,Graduation,4,1077.73,PAN,1,209,2.0,Vision-Analytics,39244,21327
Part-time,,Paid,Tesla,soccer,female,3,9.0,0,52,0,Masters,0,4070.73,PAN,1,250,2.0,Vision-Analytics,17173,21328
Part-time,Country Side,Paid,Tesla,badminton,female,2,90.0,3,40,0,Graduation,4,1291.73,Aadhar,1,277,2.0,,39917,21329
Full-time,Country Side,Paid,Tesla,None,male,3,,3,58,0,Masters,1,276.73,Aadhar,1,77,2.0,Vision-Analytics,15530,21330
Full-time,Ocean Side,Unpaid,Tesla,cricket,female,2,80.0,4,47,0,High School,7,2071.73,PAN,1,206,2.0,Vision-Analytics,41928,21332
Full-time,Country Side,Paid,Tesla,basketball,female,4,10.0,4,58,1,Masters,0,273.73,PAN,1,158,2.0,Vision-Analytics,28165,21334
Full-time,,Paid,Tesla,swimming,male,2,94.0,0,46,0,High School,7,472.73,PAN,1,26,2.0,,44845,21336
Part-time,Country Side,Paid,Tesla,badminton,male,2,48.0,2,31,1,Masters,4,662.73,PAN,1,76,2.0,Vision-Analytics,35629,21337
Full-time,Ocean Side,Paid,Tesla,soccer,male,2,25.0,4,38,0,Masters,0,3208.73,Aadhar,1,189,2.0,Vision-Analytics,32728,21338
Part-time,Country Side,Paid,Tesla,,male,1,23.0,4,31,0,High School,9,1086.73,PAN,1,328,2.0,Vision-Analytics,49468,21341
Full-time,Ocean Side,Paid,Tesla,cricket,female,1,46.0,0,48,0,Masters,0,5397.73,Aadhar,1,108,2.0,Vision-Analytics,36270,21342
Full-time,Country Side,Paid,Tesla,basketball,female,4,53.0,1,29,1,Masters,0,623.73,Aadhar,1,468,2.0,,39071,21343
Part-time,Country Side,Paid,Tesla,,female,4,61.0,0,43,0,Graduation,4,1902.73,Aadhar,1,55,2.0,Vision-Analytics,24270,21345
Part-time,Country Side,Unpaid,Tesla,badminton,female,4,90.0,1,41,0,Masters,0,41903.73,Aadhar,1,65,2.0,Vision-Analytics,15122,21346
Part-time,Country Side,Paid,Tesla,,male,2,32.0,3,56,-1,Graduation,6,1069.73,Aadhar,1,99,2.0,Vision-Analytics,13304,21349
Part-time,Ocean Side,Paid,Tesla,swimming,male,1,27.0,5,31,0,Masters,4,875.73,Aadhar,1,84,2.0,,28977,21350
Full-time,Country Side,Paid,Tesla,swimming,female,2,30.0,3,35,0,Masters,1,402.73,Aadhar,1,125,2.0,Vision-Analytics,19665,21351
Part-time,,Paid,Tesla,soccer,female,2,76.0,2,31,0,Graduation,4,352.73,Aadhar,1,167,2.0,Vision-Analytics,35613,21352
Part-time,Country Side,Paid,Tesla,swimming,male,1,81.0,3,40,-1,Masters,0,1337.73,Aadhar,1,98,2.0,Vision-Analytics,19919,21353
Full-time,Country Side,Paid,Tesla,,female,4,1.0,4,58,0,Graduation,9,1484.73,PAN,1,265,2.0,Vision-Analytics,47276,21354
Full-time,Country Side,Paid,Tesla,polo,male,1,6.0,3,45,-1,Graduation,4,509.73,Aadhar,1,260,2.0,Vision-Analytics,29900,21355
Part-time,Country Side,Unpaid,Tesla,polo,female,2,,3,41,0,Masters,0,1526.73,Aadhar,1,49,2.0,,41862,21357
Full-time,Country Side,Paid,Tesla,cricket,female,1,43.0,3,52,0,High School,6,665.73,Aadhar,1,251,2.0,Vision-Analytics,34867,21358
Part-time,Country Side,Unpaid,Tesla,badminton,male,3,37.0,3,53,0,Masters,0,273.73,PAN,1,198,2.0,Vision-Analytics,36446,21359
Part-time,,Unpaid,Tesla,polo,male,2,,4,54,-1,Graduation,3,1258.73,Aadhar,1,147,2.0,Vision-Analytics,27681,21360
Part-time,Country Side,Paid,Tesla,polo,male,3,52.0,3,42,0,Masters,0,,Aadhar,1,67,2.0,Vision-Analytics,31336,21361
Full-time,Country Side,Paid,Tesla,soccer,female,2,4.0,0,48,0,High School,7,9475.73,Aadhar,1,201,2.0,Vision-Analytics,21833,21362
Part-time,Country Side,Paid,Tesla,basketball,male,1,97.0,1,30,-1,Masters,4,3901.73,Aadhar,1,127,2.0,Vision-Analytics,46042,21363
Full-time,Country Side,Paid,Tesla,None,female,3,55.0,4,33,0,Graduation,4,24149.73,Aadhar,1,188,2.0,,13002,21364
Part-time,,Paid,Tesla,swimming,male,2,92.0,3,44,-1,Masters,0,,Aadhar,1,77,2.0,Vision-Analytics,30627,21368
Full-time,Country Side,Paid,Tesla,polo,male,3,17.0,2,30,-1,Graduation,4,3143.73,Aadhar,1,88,2.0,Vision-Analytics,29388,21369
Part-time,Country Side,Paid,Tesla,None,female,4,74.0,1,50,0,Masters,0,4005.73,PAN,1,209,2.0,,38021,21371
Part-time,Country Side,Paid,Tesla,badminton,female,1,36.0,5,57,0,Masters,0,4052.73,Aadhar,1,90,2.0,Vision-Analytics,49233,21373
Part-time,,Paid,Tesla,soccer,male,2,14.0,1,28,0,Graduation,4,512.73,Aadhar,1,196,2.0,Vision-Analytics,22821,21376
Full-time,Country Side,Paid,Tesla,None,female,3,89.0,5,52,0,Masters,0,3156.73,Aadhar,1,1123,2.0,Vision-Analytics,39217,21377
Full-time,Ocean Side,Unpaid,Tesla,soccer,female,4,72.0,4,28,1,Graduation,0,2416.73,Aadhar,1,511,2.0,,20078,21378
Part-time,Country Side,Paid,Tesla,cricket,female,3,58.0,1,28,0,Masters,0,10912.73,Aadhar,1,72,2.0,Vision-Analytics,24403,21379
Full-time,Ocean Side,Paid,Tesla,basketball,male,1,7.0,5,29,1,Masters,0,314.73,Aadhar,1,389,2.0,Vision-Analytics,21011,21380
Full-time,Ocean Side,Paid,Tesla,basketball,female,1,23.0,4,49,1,Masters,0,,Aadhar,1,116,2.0,Vision-Analytics,40127,21381
Part-time,Country Side,Paid,Tesla,,female,2,67.0,0,37,0,Masters,0,4186.73,Aadhar,1,147,2.0,Vision-Analytics,42825,21383
Full-time,,Unpaid,Tesla,basketball,female,2,,1,38,0,Masters,0,315.73,Aadhar,1,212,2.0,Vision-Analytics,19101,21384
Part-time,Country Side,Paid,Tesla,swimming,male,3,5.0,4,30,1,Masters,4,2754.73,Aadhar,1,544,2.0,,45632,21385
Full-time,Ocean Side,Paid,Tesla,soccer,female,3,,2,46,0,Graduation,4,14421.73,Aadhar,1,82,2.0,Vision-Analytics,11588,21386
Full-time,Country Side,Paid,Jio,soccer,male,4,44.0,4,52,0,Graduation,7,821.73,Aadhar,1,517,2.0,Vision-Analytics,21822,21387
Full-time,Country Side,Paid,Tesla,cricket,male,1,26.0,2,47,0,Graduation,7,1623.73,Aadhar,1,19,2.0,Vision-Analytics,35377,21389
Part-time,Ocean Side,Unpaid,Tesla,None,female,3,1.0,4,29,-1,Graduation,4,704.73,Aadhar,1,72,2.0,Vision-Analytics,21982,21390
Part-time,,Paid,Tesla,None,male,1,43.0,5,50,0,High School,7,4933.73,Aadhar,1,79,2.0,,34278,21392
Full-time,Country Side,Paid,Tesla,None,male,4,,1,53,0,High School,9,273.73,Aadhar,1,981,2.0,Vision-Analytics,14899,21393
Full-time,Ocean Side,Paid,Tesla,None,male,1,43.0,5,48,0,High School,7,,Aadhar,1,253,,Vision-Analytics,11693,21394
Part-time,Country Side,Paid,Tesla,,female,2,73.0,1,43,0,Graduation,1,273.73,Aadhar,1,246,2.0,Vision-Analytics,45728,21395
Part-time,Country Side,Paid,Jio,badminton,male,4,82.0,1,29,1,Masters,0,12094.73,Aadhar,1,381,2.0,Vision-Analytics,31403,21397
Full-time,Country Side,Paid,Tesla,,female,3,67.0,5,30,1,Masters,4,821.73,Aadhar,1,374,2.0,Vision-Analytics,11495,21398
Full-time,Ocean Side,Paid,Tesla,None,male,4,50.0,5,44,0,Masters,0,746.73,Aadhar,1,198,2.0,,20529,21399
Part-time,Country Side,Paid,Tesla,,male,4,41.0,4,38,0,Masters,0,273.73,Aadhar,1,258,2.0,Vision-Analytics,29469,21401
Full-time,Country Side,Paid,Jio,basketball,female,2,,0,29,-1,Masters,0,527.73,Aadhar,1,1573,2.0,Vision-Analytics,14164,21402
Part-time,Ocean Side,Unpaid,Tesla,swimming,female,2,61.0,0,50,0,High School,7,10077.73,Aadhar,1,152,2.0,Vision-Analytics,47084,21403
Part-time,Country Side,Paid,Tesla,basketball,male,4,60.0,1,46,0,High School,7,856.73,Aadhar,1,257,2.0,Vision-Analytics,14729,21405
Part-time,Ocean Side,Paid,Tesla,polo,male,2,47.0,0,37,0,Masters,0,2499.73,Aadhar,1,100,2.0,,23548,21406
Part-time,Country Side,Paid,Tesla,basketball,male,1,99.0,1,31,1,Graduation,4,472.73,Aadhar,1,175,2.0,Vision-Analytics,33134,21407
Full-time,Country Side,Paid,Tesla,,female,4,,0,46,0,Graduation,4,700.73,Aadhar,1,199,2.0,Vision-Analytics,21445,21411
Part-time,Country Side,Paid,Tesla,None,male,4,50.0,2,32,1,Masters,0,1030.73,Aadhar,1,34,2.0,Vision-Analytics,49131,21412
Part-time,Country Side,Unpaid,Tesla,soccer,male,3,71.0,1,43,0,Graduation,4,100.27,Aadhar,1,146,2.0,,20802,21413
Part-time,Country Side,Paid,Jio,soccer,female,1,40.0,0,59,0,Graduation,0,1258.73,Aadhar,1,995,2.0,Vision-Analytics,28214,21415
Full-time,,Paid,Tesla,badminton,female,4,21.0,2,44,0,Graduation,6,523.73,Aadhar,1,163,2.0,Vision-Analytics,33530,21416
Part-time,Country Side,Paid,Tesla,basketball,male,2,2.0,3,54,0,Graduation,7,597.73,Aadhar,1,210,2.0,Vision-Analytics,46963,21418
Full-time,Ocean Side,Paid,Tesla,,male,4,25.0,1,48,-1,Graduation,0,,Aadhar,1,204,2.0,Vision-Analytics,47736,21419
Full-time,Ocean Side,Unpaid,Tesla,swimming,female,1,,1,36,-1,Graduation,4,1494.73,Aadhar,1,70,,,36840,21420
Part-time,Country Side,Paid,Jio,polo,male,2,91.0,5,56,0,High School,10,1514.73,Aadhar,1,191,2.0,Vision-Analytics,31588,21422
Part-time,Ocean Side,Unpaid,Tesla,badminton,female,4,66.0,4,33,-1,Masters,0,1044.73,Aadhar,1,218,2.0,Vision-Analytics,30326,21423
Part-time,,Paid,Tesla,badminton,female,4,37.0,5,41,1,Masters,4,413.73,Aadhar,1,189,2.0,Vision-Analytics,49547,21424
Part-time,Country Side,Paid,Tesla,swimming,female,4,91.0,4,28,1,Masters,0,273.73,Aadhar,1,121,2.0,Vision-Analytics,18463,21426
Part-time,Country Side,Paid,Tesla,None,male,4,10.0,3,41,-1,Masters,0,444.73,Aadhar,1,64,2.0,,43790,21427
Full-time,Country Side,Paid,Tesla,cricket,female,4,52.0,4,33,1,Masters,0,273.73,Aadhar,1,273,2.0,Vision-Analytics,37071,21428
Full-time,Ocean Side,Paid,Tesla,cricket,female,1,,0,34,1,Graduation,4,2876.73,Aadhar,1,171,,Vision-Analytics,28053,21429
Part-time,Country Side,Paid,Tesla,soccer,male,1,60.0,4,33,0,Graduation,4,821.73,Aadhar,1,454,2.0,Vision-Analytics,15624,21430
Full-time,Country Side,Paid,Tesla,soccer,female,2,68.0,2,45,0,Graduation,7,938.73,Aadhar,1,882,2.0,Vision-Analytics,14226,21431
Part-time,,Paid,Tesla,cricket,male,1,69.0,1,45,1,Graduation,4,3187.73,Aadhar,1,402,2.0,Vision-Analytics,23910,21432
Full-time,Country Side,Paid,Tesla,soccer,female,1,30.0,3,28,1,Masters,4,3105.73,Aadhar,1,347,2.0,Vision-Analytics,24004,21433
Part-time,Country Side,Paid,Tesla,soccer,male,3,92.0,1,50,0,Graduation,4,273.73,Aadhar,1,392,2.0,,22734,21434
Part-time,Ocean Side,Paid,Tesla,soccer,female,2,12.0,2,49,1,Graduation,7,2113.73,Aadhar,1,309,2.0,Vision-Analytics,11758,21435
Part-time,Country Side,Paid,Tesla,badminton,female,2,79.0,2,31,0,Graduation,1,446.73,Aadhar,1,23,2.0,Vision-Analytics,32867,21436
Part-time,Country Side,Paid,Tesla,,male,1,64.0,4,30,0,High School,9,2951.73,Aadhar,1,776,2.0,Vision-Analytics,48559,21437
Full-time,Country Side,Paid,Tesla,basketball,female,3,,0,36,-1,Graduation,4,549.73,Aadhar,1,89,2.0,Vision-Analytics,32814,21438
Part-time,Ocean Side,Unpaid,Tesla,,female,3,41.0,3,32,-1,Graduation,4,273.73,Aadhar,1,371,2.0,Vision-Analytics,20048,21439
Part-time,Country Side,Paid,Tesla,cricket,male,1,73.0,2,50,-1,High School,6,370.27,Aadhar,1,116,2.0,,24329,21441
Full-time,Country Side,Paid,Tesla,soccer,female,2,56.0,5,39,0,Graduation,4,3124.73,Aadhar,1,293,2.0,Vision-Analytics,20290,21442
Part-time,Ocean Side,Unpaid,Tesla,soccer,male,2,26.0,3,30,1,Masters,4,293.73,Aadhar,1,190,2.0,Vision-Analytics,14531,21443
Full-time,Country Side,Paid,Tesla,soccer,male,3,56.0,5,29,1,Graduation,0,273.73,Aadhar,1,84,2.0,Vision-Analytics,24444,21444
Full-time,Country Side,Paid,Tesla,,female,3,96.0,5,28,1,Graduation,0,482.73,Aadhar,1,240,2.0,Vision-Analytics,26842,21445
Full-time,,Paid,Jio,None,female,4,98.0,5,35,1,Graduation,4,1708.73,Aadhar,1,721,2.0,,23279,21448
Part-time,Country Side,Paid,Tesla,polo,female,3,86.0,3,46,0,Masters,4,9480.73,Aadhar,1,442,2.0,Vision-Analytics,12581,21449
Part-time,Country Side,Unpaid,Tesla,cricket,female,4,,2,42,0,Graduation,4,639.73,Aadhar,1,209,2.0,Vision-Analytics,40944,21451
Part-time,Country Side,Paid,Tesla,None,female,3,77.0,1,43,0,Graduation,4,529.73,Aadhar,1,116,2.0,Vision-Analytics,39926,21452
Part-time,Country Side,Paid,Tesla,polo,male,2,23.0,0,41,0,Masters,0,273.73,Aadhar,1,238,2.0,,20492,21455
Part-time,,Paid,Tesla,,male,4,,2,44,1,High School,7,2926.73,Aadhar,1,311,2.0,Vision-Analytics,33929,21456
Part-time,Country Side,Paid,Tesla,basketball,male,3,47.0,0,56,0,Graduation,3,724.73,Aadhar,1,726,2.0,Vision-Analytics,34351,21459
Part-time,Ocean Side,Paid,Tesla,polo,male,2,39.0,3,47,0,Masters,6,579.73,Aadhar,1,282,2.0,Vision-Analytics,37111,21460
Part-time,Country Side,Paid,Tesla,cricket,male,2,93.0,3,58,0,High School,6,1081.73,Aadhar,1,390,2.0,Vision-Analytics,17132,21461
Full-time,Country Side,Paid,Tesla,swimming,female,2,61.0,0,33,0,Graduation,4,423.73,Aadhar,1,239,2.0,,17339,21462
Part-time,Country Side,Paid,Tesla,,female,4,46.0,3,54,0,,7,273.73,Aadhar,1,79,2.0,Vision-Analytics,32818,21463
Part-time,,Paid,Tesla,swimming,male,3,15.0,1,52,0,Graduation,6,3874.73,PAN,1,235,2.0,Vision-Analytics,27196,21464
Part-time,Country Side,Paid,Tesla,polo,male,2,,4,28,1,Masters,0,3318.73,Aadhar,1,186,2.0,Vision-Analytics,36443,21465
Full-time,Country Side,Paid,Tesla,polo,female,4,66.0,1,35,1,Masters,4,726.73,Aadhar,1,126,2.0,Vision-Analytics,35542,21466
Full-time,Country Side,Paid,Tesla,,female,2,76.0,0,47,0,Graduation,4,5045.73,Aadhar,1,154,2.0,Vision-Analytics,46510,21467
Full-time,Country Side,Paid,Tesla,cricket,female,3,15.0,4,37,1,Masters,4,1316.73,Aadhar,1,192,2.0,Vision-Analytics,13747,21468
Full-time,Country Side,Paid,Tesla,,female,3,7.0,3,43,0,Masters,4,,Aadhar,1,196,2.0,,30300,21469
Part-time,,Paid,Tesla,,male,4,91.0,5,56,0,,3,2453.73,Aadhar,1,270,2.0,Vision-Analytics,12891,21472
Part-time,Country Side,Paid,Tesla,cricket,male,1,12.0,0,58,0,Graduation,4,1228.73,Aadhar,1,34,2.0,Vision-Analytics,48101,21473
Full-time,Country Side,Paid,Tesla,cricket,female,1,55.0,0,46,0,Graduation,4,739.73,Aadhar,1,96,2.0,Vision-Analytics,17874,21475
Part-time,Country Side,Paid,Tesla,None,male,4,36.0,5,44,0,Graduation,11,1755.73,Aadhar,1,136,2.0,,36124,21476
Full-time,Country Side,Paid,Tesla,polo,male,2,59.0,1,47,0,Masters,0,273.73,Aadhar,1,75,2.0,Vision-Analytics,16190,21478
Full-time,Country Side,Paid,Tesla,basketball,female,1,19.0,4,33,0,Graduation,1,2524.73,Aadhar,1,148,2.0,Vision-Analytics,12142,21479
Part-time,Country Side,Paid,Tesla,basketball,female,1,19.0,1,43,0,Graduation,11,2392.73,Aadhar,1,117,2.0,Vision-Analytics,49772,21481
Full-time,Country Side,Paid,Tesla,,male,4,34.0,4,46,0,Graduation,7,2487.73,Aadhar,1,604,2.0,Vision-Analytics,24375,21482
Full-time,Country Side,Paid,Tesla,polo,male,3,,3,36,0,Masters,4,489.73,Aadhar,1,138,2.0,,14021,21483
Part-time,Country Side,Paid,Tesla,badminton,female,3,28.0,5,29,0,Graduation,0,273.73,Aadhar,1,78,2.0,Vision-Analytics,38776,21484
Full-time,Country Side,Paid,Tesla,soccer,female,3,3.0,3,50,0,High School,3,477.73,Aadhar,1,120,2.0,Vision-Analytics,36614,21485
Part-time,Country Side,Unpaid,Tesla,soccer,female,2,8.0,2,31,0,Graduation,6,883.73,Aadhar,1,113,2.0,Vision-Analytics,26586,21486
Part-time,Country Side,Paid,Tesla,None,female,1,29.0,5,56,0,High School,7,,Aadhar,1,153,2.0,Vision-Analytics,28421,21487
Part-time,Country Side,Paid,Tesla,None,female,3,76.0,0,45,0,Graduation,4,273.73,Aadhar,1,200,2.0,Vision-Analytics,46812,21489
Full-time,Country Side,Paid,Tesla,swimming,male,2,5.0,1,58,0,Graduation,10,273.73,Aadhar,1,313,2.0,Vision-Analytics,46501,21493
Full-time,Country Side,Paid,Tesla,polo,female,1,35.0,1,29,1,Masters,0,306.73,Aadhar,1,155,2.0,Vision-Analytics,17472,21495
Part-time,,Paid,Tesla,cricket,female,4,50.0,2,45,0,Graduation,4,17479.73,Aadhar,1,122,2.0,Vision-Analytics,37399,21496
Part-time,Country Side,Paid,Tesla,None,female,1,13.0,1,58,0,Masters,10,498.73,Aadhar,1,51,2.0,Vision-Analytics,43825,21498
Full-time,Country Side,Paid,Tesla,swimming,male,2,24.0,3,48,-1,Masters,0,333.73,Aadhar,1,252,2.0,Vision-Analytics,31266,21499
Part-time,Country Side,Unpaid,Tesla,None,female,4,,3,33,0,Masters,0,1127.73,Aadhar,1,130,2.0,Vision-Analytics,42010,21500
Part-time,Country Side,Paid,Tesla,cricket,female,3,,1,44,-1,Masters,0,407.73,Aadhar,1,131,2.0,Vision-Analytics,29868,21501
Part-time,Country Side,Paid,Tesla,swimming,male,4,16.0,1,58,0,Masters,10,10773.73,Aadhar,1,53,2.0,Vision-Analytics,35810,21502
Full-time,Ocean Side,Paid,Tesla,polo,female,3,79.0,5,29,0,Masters,4,6835.73,Aadhar,1,115,2.0,Vision-Analytics,36398,21505
Full-time,Country Side,Paid,Tesla,basketball,female,1,72.0,5,54,0,Graduation,7,273.73,Aadhar,1,429,2.0,Vision-Analytics,10041,21506
Full-time,Country Side,Paid,Tesla,basketball,male,1,94.0,1,46,0,Masters,0,4333.73,Aadhar,1,328,2.0,Vision-Analytics,25003,21507
Full-time,Country Side,Paid,Tesla,,female,1,84.0,5,52,0,Graduation,7,273.73,Aadhar,1,84,2.0,Vision-Analytics,46174,21508
Part-time,Country Side,Unpaid,Tesla,None,male,3,26.0,0,42,0,Masters,0,273.73,Aadhar,1,67,2.0,Vision-Analytics,41887,21509
Part-time,Country Side,Paid,Tesla,badminton,female,1,,2,45,0,High School,7,316.73,Aadhar,1,219,2.0,Vision-Analytics,31539,21510
Part-time,,Unpaid,Tesla,soccer,male,4,83.0,0,28,-1,Graduation,0,0.26999999999998203,Aadhar,1,163,2.0,Vision-Analytics,25672,21512
Part-time,Ocean Side,Paid,Tesla,polo,male,4,84.0,0,34,1,Graduation,4,,Aadhar,1,97,2.0,Vision-Analytics,17421,21513
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,46.0,4,30,0,Masters,4,537.73,Aadhar,1,100,2.0,Vision-Analytics,30670,21515
Part-time,Country Side,Paid,Tesla,badminton,female,1,5.0,2,46,0,Graduation,4,273.73,Aadhar,1,212,2.0,Vision-Analytics,34459,21516
Full-time,Ocean Side,Paid,Tesla,basketball,female,2,71.0,0,43,0,Graduation,1,844.73,Aadhar,1,358,2.0,,24544,21518
Part-time,Country Side,Paid,Tesla,swimming,male,1,,0,51,0,Graduation,7,4653.73,PAN,1,220,2.0,Vision-Analytics,41463,21519
Part-time,,Paid,Tesla,badminton,female,2,10.0,1,58,0,Graduation,3,3316.73,Aadhar,1,232,2.0,Vision-Analytics,48270,21520
Full-time,Country Side,Paid,Tesla,badminton,male,1,31.0,1,51,0,Masters,0,,Aadhar,1,93,2.0,Vision-Analytics,19807,21521
Part-time,Country Side,Paid,Tesla,cricket,female,2,47.0,5,45,0,Graduation,4,273.73,Aadhar,1,207,2.0,Vision-Analytics,13958,21522
Part-time,Country Side,Paid,Tesla,cricket,male,1,48.0,3,55,0,Graduation,8,1452.73,Aadhar,1,186,2.0,Vision-Analytics,44432,21526
Full-time,Country Side,Paid,Tesla,cricket,male,2,88.0,3,54,0,Graduation,10,347.73,Aadhar,1,141,2.0,Vision-Analytics,32417,21527
Full-time,,Paid,Tesla,None,male,1,,3,55,0,Graduation,4,568.73,Aadhar,1,148,2.0,Vision-Analytics,25434,21528
Part-time,Ocean Side,Unpaid,Tesla,badminton,male,3,78.0,3,47,0,Graduation,4,298.73,Aadhar,1,48,2.0,Vision-Analytics,27376,21529
Full-time,Ocean Side,Paid,Tesla,basketball,male,4,58.0,0,37,0,Graduation,4,3767.73,Aadhar,1,341,2.0,Vision-Analytics,29207,21530
Part-time,Country Side,Paid,Tesla,cricket,male,4,79.0,0,43,0,Masters,0,3078.73,Aadhar,1,88,2.0,Vision-Analytics,31116,21531
Part-time,Country Side,Paid,Tesla,swimming,male,1,83.0,1,36,1,Masters,4,376.73,Aadhar,1,487,2.0,Vision-Analytics,12212,21533
Full-time,Country Side,Paid,Tesla,polo,male,2,10.0,2,57,0,,10,886.73,Aadhar,1,72,2.0,Vision-Analytics,29582,21534
Part-time,Country Side,Paid,Tesla,badminton,female,3,55.0,0,46,0,Graduation,11,178.73,Aadhar,1,131,2.0,Vision-Analytics,21686,21535
Full-time,Ocean Side,Paid,Tesla,badminton,male,4,,0,47,0,Masters,3,688.27,Aadhar,1,292,2.0,Vision-Analytics,38136,21537
Part-time,Country Side,Paid,Tesla,,female,3,11.0,0,33,1,Graduation,4,690.73,Aadhar,1,89,2.0,Vision-Analytics,16191,21540
Part-time,Country Side,Paid,Tesla,badminton,female,1,15.0,3,49,-1,Masters,0,71.73,Aadhar,1,501,2.0,Vision-Analytics,43778,21541
Full-time,,Paid,Tesla,swimming,female,3,1.0,5,32,0,Masters,9,345.73,Aadhar,1,110,2.0,Vision-Analytics,48786,21544
Full-time,Country Side,Paid,Tesla,basketball,male,1,0.0,3,40,0,Masters,0,2410.73,Aadhar,1,118,2.0,Vision-Analytics,13421,21545
Part-time,Country Side,Unpaid,Tesla,badminton,male,3,19.0,4,54,0,Graduation,10,293.73,Aadhar,1,150,2.0,Vision-Analytics,40487,21547
